MovieId;Budget;DirectorId;MainLanguageId;MainActorId;Popularity;VoteAverage;Year
389;340000;39996;9;4958;0.941609;8;1957
62;12000000;240;9;245;2.042213;7.5;1968
20453;9000000;85675;57;52763;1.129297;7.7;2009
453;60000000;6159;9;934;1.1281;7.3;2001
185;2200000;240;9;56890;1.84701;7.5;1971
702;1800000;2746;9;10538;0.826459;6.9;1951
348;11000000;578;9;10205;3.464702;7.4;1979
705;1400000;10601;12;3380;0.567611;7.3;1950
143;1250000;2000;7;2007;0.636655;6.3;1930
279;18000000;3974;7;1164;0.861148;7.2;1984
14;15000000;39;9;1979;2.051613;7.5;1999
73;20000000;814;9;819;1.969675;7.9;1998
55;2000000;223;10;258;0.824461;7.2;2000
93;0;834;9;854;0.523585;7.2;1959
703;4000000;1243;7;1243;1.128313;7.4;1977
28;31500000;1776;83;8349;1.002313;7.5;1979
212;1120175;2662;7;2638;0.375381;7.1;1944
105;19000000;24;9;521;3.422824;7.6;1985
3175;11000000;240;7;31070;0.76528;7.1;1975
272;150000000;525;9;3894;3.335344;7.3;2005
10020;25000000;62047;12;62050;2.809615;7.1;1991
76;2500000;564;9;569;0.539496;7.4;1995
665;15000000;10001;9;10017;0.992458;6.8;1959
44214;13000000;6431;9;524;1.884317;6.9;2010
78;28000000;578;9;3;2.930202;7.6;1982
197;72000000;2461;9;2461;1.543846;7.4;1995
642;6000000;9577;10;3636;0.727833;6.8;1969
289;950000;4109;7;4110;0.948398;7.5;1942
524;52000000;1032;12;380;1.363789;7.4;1995
829;6000000;3556;10;514;0.66452;7.5;1974
598;3300000;8557;22;8595;1.259803;7.8;2002
15;839727;40;9;40;0.644578;7.5;1941
901;1500000;13848;9;13848;0.380038;7.9;1931
903;0;13859;9;3636;0.521505;7.2;1967
562;28000000;1090;9;62;3.316147;7;1988
17654;30000000;82194;54;82191;1.754916;7;2009
68718;100000000;138;9;134;4.049723;7.5;2012
968;1800000;39996;9;1158;1.252642;7.1;1975
141;6000000;1577;9;131;1.687623;7.4;2001
996;927262;3146;5;4091;0.258299;7.3;1944
935;1800000;240;9;12446;0.864563;7.7;1964
1417;19000000;10828;10;16970;1.387779;7.4;2006
38;20000000;201;9;206;2.026148;7.6;2004
5961;0;6648;7;3857;0.446219;6.4;1982
275;7000000;1223;9;3905;1.290985;7.4;1996
309;1300000;4453;6;4455;0.18492;7.6;1998
550;63000000;7467;9;819;2.577268;7.9;1999
12;94000000;7;9;13;3.070674;7.3;2003
13;55000000;24;9;31;2.677104;7.9;1994
600;17000000;240;9;8654;1.568361;7.5;1987
783;22000000;4786;9;2282;1.351239;6.9;1982
98;103000000;578;9;934;2.802703;7.5;2000
770;4000000;9049;9;10538;0.821146;7;1939
489;10000000;5216;9;1892;1.714873;7.5;1997
769;25000000;1032;16;380;2.013075;7.9;1990
13223;33000000;190;9;190;1.899066;7.5;2008
137;14600000;1524;9;1532;1.498605;7.1;1993
12445;125000000;11343;9;10980;3.271466;7.5;2011
11787;0;33064;9;854;0.361674;7.6;1950
949;60000000;638;9;1158;1.385413;7.3;1995
288;750000;4065;9;4068;0.996565;7;1952
205;17500000;2589;9;1896;0.902119;7.1;2004
10191;165000000;69797;9;449;2.899676;7.3;2010
429;1200000;4385;16;3265;0.816971;7.7;1966
7984;13000000;53334;9;11856;0.57252;7.3;1993
46738;6800000;137427;12;77498;0.492318;7.8;2010
27205;160000000;525;9;6193;4.475611;7.8;2010
89;48000000;488;7;3;1.73377;7.3;1989
10775;0;66718;-1;25246;0.841977;7.6;2002
16869;70000000;138;7;287;2.603773;7.6;2009
